orderid,regionid,systemid,stationid,typeid,bid,price,minvolume,volremain,volenter,issued,duration,range,reportedby,reportedtime,,,
2391490956,10000002,30000142,60003760,34,0,3.85,1,176472052,606396503,12/31/2011 9:00,"30 days, 0:00:00",32767,0,53:54.7,2334626537,,
2331101857,10000002,30000142,60003760,34,0,4.5,1,873,873,10/27/2011 1:50,"90 days, 0:00:00",32767,0,53:54.7,3928.5,,
2316956222,10000002,30000142,60003760,34,0,200000,1,1,1,10/11/2011 20:22,"90 days, 0:00:00",32767,0,53:54.7,200000,,
2236857377,10000002,30000142,60003760,34,0,4.98,1,50000,50000,12/30/2011 15:44,"90 days, 0:00:00",32767,0,53:54.7,249000,,
2392961390,10000002,30000142,60003760,34,0,3.82,1,22908035,80000000,1/1/2012 1:17,"1 day, 0:00:00",32767,0,21:25.3,305600000,,
2392959940,10000002,30000142,60003760,34,0,3.83,1,28354576,40360015,1/1/2012 1:14,"90 days, 0:00:00",32767,0,21:25.3,154578857.5,,
2392952931,10000002,30000142,60003760,34,0,3.84,1,5001797,5001797,1/1/2012 1:00,"90 days, 0:00:00",32767,0,21:25.3,19206900.48,,
2392949357,10000002,30000142,60003760,34,0,3.84,1,46192440,46192440,1/1/2012 0:53,"90 days, 0:00:00",32767,0,21:25.3,177378969.6,,
2392949353,10000002,30000142,60003760,34,0,3.84,1,2203306,2204659,1/1/2012 0:53,"1 day, 0:00:00",32767,0,21:25.3,8465890.56,,
2391490956,10000002,30000142,60003760,34,0,3.85,1,123809062,606396503,12/31/2011 9:00,"30 days, 0:00:00",32767,0,21:25.3,2334626537,,
2393064781,10000002,30000142,60003760,34,0,3.85,1,3195552,3195552,1/1/2012 5:04,"90 days, 0:00:00",32767,0,34:57.4,12302875.2,,
2392968592,10000002,30000142,60003760,34,0,4.39,1,257431375,257431375,1/1/2012 1:30,"30 days, 0:00:00",32767,0,34:57.4,1130123736,,
2392510364,10000002,30000142,60003760,34,0,3.85,1,33462854,63462854,12/31/2011 13:27,"90 days, 0:00:00",32767,0,34:57.4,244331987.9,,
2392510364,10000002,30000142,60003760,34,0,3.85,1,33368654,63462854,12/31/2011 13:27,"90 days, 0:00:00",32767,0,42:57.2,244331987.9,,
2393175735,10000002,30000142,60003760,34,0,3.85,1,1,1,1/1/2012 9:38,"7 days, 0:00:00",32767,0,41:09.3,3.85,,
2393143339,10000002,30000142,60003760,34,0,3.9,1,440008297,440008297,1/1/2012 8:20,"30 days, 0:00:00",32767,0,41:09.3,1716032358,,
2393119859,10000002,30000142,60003760,34,0,4.1,1,1304130,1304130,1/1/2012 7:23,"1 day, 0:00:00",32767,0,41:09.3,5346933,,
2393111477,10000002,30000142,60003760,34,0,4.36,1,1840423063,1840423063,1/1/2012 7:02,"30 days, 0:00:00",32767,0,41:09.3,8024244555,,
2392141505,10000002,30000142,60003760,34,0,3.87,1,1124322953,1325371794,12/31/2011 2:07,"30 days, 0:00:00",32767,0,41:09.3,5129188843,,
2392141505,10000002,30000142,60003760,34,0,3.87,1,549088974,1325371794,12/31/2011 2:07,"30 days, 0:00:00",32767,0,56:51.2,5129188843,,
2393195721,10000002,30000142,60003760,34,0,3.84,1,57267936,173943628,1/1/2012 10:19,"1 day, 0:00:00",32767,0,56:51.2,667943531.5,,
2393187043,10000002,30000142,60003760,34,0,3.86,1,2982787,3011362,1/1/2012 10:01,"90 days, 0:00:00",32767,0,56:51.2,11623857.32,,
2392141505,10000002,30000142,60003760,34,0,3.87,1,195660859,1325371794,12/31/2011 2:07,"30 days, 0:00:00",32767,0,47:29.4,5129188843,,
2393275378,10000002,30000142,60003760,34,0,3.89,1,3340812,3840812,1/1/2012 13:13,"90 days, 0:00:00",32767,0,38:06.2,14940758.68,,
2390863950,10000002,30000142,60003760,34,0,3.9,1,136870458,518772786,12/29/2011 19:38,"30 days, 0:00:00",32767,0,38:06.2,2023213865,,
2393143339,10000002,30000142,60003760,34,0,3.9,1,797223,440008297,1/1/2012 8:20,"30 days, 0:00:00",32767,0,58:06.2,1716032358,,
2393311046,10000002,30000142,60003760,34,0,4.07,1,5474037,5474037,1/1/2012 14:04,"90 days, 0:00:00",32767,0,10:18.5,22279330.59,,
